,Title,Year,Genre,Rating
135,Some Like It Hot,1959,['Comedy'],8.2
136,Batman Begins,2005,['Action'],8.2
137,Jai Bhim,2021,['Crime'],9.3
138,Unforgiven,1992,['Drama'],8.2
139,Children of Heaven,1997,['Drama'],8.3
140,Howl's Moving Castle,2004,['Animation'],8.2
141,The Wolf of Wall Street,2013,['Biography'],8.2
142,Judgment at Nuremberg,1961,['Drama'],8.2
143,There Will Be Blood,2007,['Drama'],8.2
144,Casino,1995,['Crime'],8.2
145,The Great Escape,1963,['Adventure'],8.2
146,The Treasure of the Sierra Madre,1948,['Adventure'],8.2
147,Pan's Labyrinth,2006,['Drama'],8.2
148,A Beautiful Mind,2001,['Biography'],8.2
149,The Secret in Their Eyes,2009,['Drama'],8.2
150,Raging Bull,1980,['Biography'],8.2
151,Chinatown,1974,['Drama'],8.2
152,My Neighbour Totoro,1988,['Animation'],8.2
153,Shutter Island,2010,['Mystery'],8.2
154,"Lock, Stock and Two Smoking Barrels",1998,['Action'],8.2
155,No Country for Old Men,2007,['Crime'],8.1
156,Klaus,2019,['Animation'],8.2
157,Dial M for Murder,1954,['Crime'],8.2
158,The Thing,1982,['Horror'],8.1
159,The Gold Rush,1925,['Adventure'],8.2
160,"Three Billboards Outside Ebbing, Missouri",2017,['Comedy'],8.1
161,The Seventh Seal,1957,"['Drama', 'Fantasy']",8.2
162,The Elephant Man,1980,['Biography'],8.1
163,The Sixth Sense,1999,['Drama'],8.1
164,Dersu Uzala,1975,['Adventure'],8.3
165,Jurassic Park,1993,['Action'],8.1
166,The Truman Show,1998,['Comedy'],8.1
167,Wild Strawberries,1957,"['Drama', 'Romance']",8.2
168,The Third Man,1949,['Film-Noir'],8.1
169,Memories of Murder,2003,['Crime'],8.1
170,V for Vendetta,2005,['Action'],8.1
171,Blade Runner,1982,['Action'],8.1
172,Trainspotting,1996,['Drama'],8.1
173,Fargo,1996,['Crime'],8.1
174,The Bridge on the River Kwai,1957,['Adventure'],8.1
175,Inside Out,2015,['Animation'],8.1
176,Finding Nemo,2003,['Animation'],8.1
177,Kill Bill: Vol. 1,2003,['Action'],8.1
178,Warrior,2011,['Action'],8.1
179,Gone with the Wind,1939,['Drama'],8.1
180,Tokyo Story,1953,['Drama'],8.2
181,On the Waterfront,1954,['Crime'],8.1
182,My Father and My Son,2005,"['Drama', 'Family']",8.2
183,Prisoners,2013,['Crime'],8.1
184,Wild Tales,2014,['Comedy'],8.1
185,The Grand Budapest Hotel,2014,['Adventure'],8.1
186,Stalker,1979,['Drama'],8.1
187,The Deer Hunter,1978,['Drama'],8.1
188,The General,1926,['Action'],8.1
189,Gran Torino,2008,['Drama'],8.1
190,Persona,1966,['Drama'],8.1
191,Sherlock Jr.,1924,['Action'],8.2
192,Before Sunrise,1995,['Drama'],8.1
193,Catch Me If You Can,2002,['Biography'],8.1
194,Mary and Max,2009,['Animation'],8.1
195,Mr. Smith Goes to Washington,1939,['Comedy'],8.1
196,Barry Lyndon,1975,['Adventure'],8.1
197,In the Name of the Father,1993,"['Biography', 'Crime']",8.1
198,Hacksaw Ridge,2016,['Biography'],8.1
199,Gone Girl,2014,['Drama'],8.1
200,Room,2015,['Drama'],8.1
201,Z,1969,"['Crime', 'Drama']",8.2
202,Andhadhun,2018,['Comedy'],8.2
203,Dune,2021,['Action'],8.1
204,The Passion of Joan of Arc,1928,['Biography'],8.1
205,Le Mans '66,2019,['Action'],8.1
206,12 Years a Slave,2013,['Biography'],8.1
